"replicate" "day" "dilution" "initial_density" "value" "extinction"
"rep_8" 6 1600 "dens_1" 0.97557528 FALSE
"rep_1" 7 250 "dens_1" 1.6794584 FALSE
"rep_2" 7 250 "dens_1" 1.7260113 FALSE
"rep_3" 7 250 "dens_1" 1.7111868 FALSE
"rep_4" 7 250 "dens_1" 1.7711918 FALSE
"rep_5" 7 250 "dens_1" 1.7560119 FALSE
"rep_6" 7 250 "dens_1" 1.7560119 FALSE
"rep_7" 7 250 "dens_1" 1.738454 FALSE
"rep_8" 7 250 "dens_1" 1.7661183 FALSE
"rep_1" 7 500 "dens_1" 1.5372706 FALSE
"rep_2" 7 500 "dens_1" 1.601219 FALSE
"rep_3" 7 500 "dens_1" 1.6128683 FALSE
"rep_4" 7 500 "dens_1" 1.6175481 FALSE
"rep_5" 7 500 "dens_1" 1.5988977 FALSE
"rep_6" 7 500 "dens_1" 1.6058701 FALSE
"rep_7" 7 500 "dens_1" 1.5988977 FALSE
"rep_8" 7 500 "dens_1" 1.5644139 FALSE
"rep_1" 7 750 "dens_1" 1.3129838 FALSE
"rep_2" 7 750 "dens_1" 1.4133846 FALSE
"rep_3" 7 750 "dens_1" 1.4409366 FALSE
"rep_4" 7 750 "dens_1" 1.4494952 FALSE
"rep_5" 7 750 "dens_1" 1.4008017 FALSE
"rep_6" 7 750 "dens_1" 1.4324164 FALSE
"rep_7" 7 750 "dens_1" 1.438803 FALSE
"rep_8" 7 750 "dens_1" 1.3862263 FALSE
"rep_1" 7 1000 "dens_1" 1.1052299 FALSE
"rep_2" 7 1000 "dens_1" 1.2328692 FALSE
"rep_3" 7 1000 "dens_1" 1.2656785 FALSE
"rep_4" 7 1000 "dens_1" 1.191234 FALSE
"rep_5" 7 1000 "dens_1" 1.289184 FALSE
"rep_6" 7 1000 "dens_1" 1.2715277 FALSE
"rep_7" 7 1000 "dens_1" 1.2773949 FALSE
"rep_8" 7 1000 "dens_1" 1.2463103 FALSE
"rep_1" 7 1133 "dens_1" 1.0332583 FALSE
"rep_2" 7 1133 "dens_1" 1.2006168 FALSE
"rep_3" 7 1133 "dens_1" 1.3189807 FALSE
"rep_4" 7 1133 "dens_1" 1.3330474 FALSE
"rep_5" 7 1133 "dens_1" 1.3189807 FALSE
"rep_6" 7 1133 "dens_1" 1.3229891 FALSE
"rep_7" 7 1133 "dens_1" 1.287214 FALSE
"rep_8" 7 1133 "dens_1" 1.287214 FALSE
"rep_1" 7 1266 "dens_1" 0.90826802 FALSE
"rep_2" 7 1266 "dens_1" 1.0557848 FALSE
"rep_3" 7 1266 "dens_1" 1.1106048 FALSE
"rep_4" 7 1266 "dens_1" 1.2024989 FALSE
"rep_5" 7 1266 "dens_1" 1.1726064 FALSE
"rep_6" 7 1266 "dens_1" 1.2006168 FALSE
"rep_7" 7 1266 "dens_1" 1.2309567 FALSE
"rep_8" 7 1266 "dens_1" 1.2062687 FALSE
"rep_1" 7 1400 "dens_1" 0.70067814 FALSE
"rep_2" 7 1400 "dens_1" 0.80469159 FALSE
"rep_3" 7 1400 "dens_1" 0.96391369 FALSE
"rep_4" 7 1400 "dens_1" 1.0980871 FALSE
"rep_5" 7 1400 "dens_1" 0.95562759 FALSE
"rep_6" 7 1400 "dens_1" 0.98730888 FALSE
"rep_7" 7 1400 "dens_1" 0.84170575 FALSE
"rep_8" 7 1400 "dens_1" 0.99742426 FALSE
"rep_1" 7 1600 "dens_1" 0.39790243 FALSE
"rep_2" 7 1600 "dens_1" 0.6748274 FALSE
"rep_3" 7 1600 "dens_1" 0.68627321 FALSE
"rep_4" 7 1600 "dens_1" 0.8589146 FALSE
"rep_5" 7 1600 "dens_1" 0.95728192 FALSE
"rep_6" 7 1600 "dens_1" 0.85107307 FALSE
"rep_7" 7 1600 "dens_1" 0.78645145 FALSE
"rep_8" 7 1600 "dens_1" 0.95232324 FALSE
"rep_1" 1 250 "dens_2" 1.9217917 FALSE
"rep_2" 1 250 "dens_2" 1.9355899 FALSE
"rep_3" 1 250 "dens_2" 1.960682 FALSE
"rep_4" 1 250 "dens_2" 1.9691202 FALSE
"rep_5" 1 250 "dens_2" 1.9467011 FALSE
"rep_6" 1 250 "dens_2" 1.9719413 FALSE
"rep_7" 1 250 "dens_2" 1.960682 FALSE
"rep_8" 1 250 "dens_2" 1.9135607 FALSE
"rep_1" 1 500 "dens_2" 1.9747666 FALSE
"rep_2" 1 500 "dens_2" 2.0263534 FALSE
"rep_3" 1 500 "dens_2" 2.0234505 FALSE
"rep_4" 1 500 "dens_2" 1.9663033 FALSE
"rep_5" 1 500 "dens_2" 1.9804298 FALSE
"rep_6" 1 500 "dens_2" 2.0090017 FALSE
"rep_7" 1 500 "dens_2" 1.9634906 FALSE
"rep_8" 1 500 "dens_2" 1.9163004 FALSE
"rep_1" 1 750 "dens_2" 1.9634906 FALSE
"rep_2" 1 750 "dens_2" 1.994662 FALSE
"rep_3" 1 750 "dens_2" 1.994662 FALSE
"rep_4" 1 750 "dens_2" 1.991807 FALSE
"rep_5" 1 750 "dens_2" 1.9889563 FALSE
